DOR ,058.318552;-52.796790,060.797653;-52.822759,060.692664;-56.155530,065.650198;-56.209336,065.554313;-58.708804,069.274259;-58.750617,068.793691;-67.247879,068.581166;-69.746668,098.454020;-70.104127,098.936906;-64.107020,090.173310;-64.001035,090.344747;-61.002077,082.857313;-60.911258,083.018515;-57.412232,075.547467;-57.323003,075.676751;-53.823765,068.217486;-53.737589,068.362005;-48.738407,064.882152;-48.699619,062.149682;-48.669925,062.098406;-50.669649,058.376937;-50.630423,
DRA ,140.615093;+72.974195,142.190573;+81.467828,163.104984;+81.339692,162.818215;+79.340264,174.531298;+79.308435,174.434545;+76.308503,195.820510;+76.329001,196.097366;+69.329457,210.650775;+69.399208,210.820510;+65.399734,235.329597;+65.602411,235.050688;+69.601011,247.841166;+69.738359,247.220878;+74.734846,261.536860;+74.903350,260.218295;+79.895389,267.656432;+79.985778,261.723364;+85.949604,308.722253;+86.465584,313.706262;+80.486739,300.674198;+80.364750,301.873617;+75.370844,309.573275;+75.445489,310.334109;+67.448991,306.517485;+67.412919,306.811913;+61.914349,300.485291;+61.850598,300.573344;+59.851058,297.039311;+59.813527,297.100610;+58.313858,291.809604;+58.255463,291.904646;+55.755999,286.876507;+55.698447,287.120679;+47.699867,274.342391;+47.547618,274.257702;+50.547105,255.786349;+50.324484,255.756833;+51.324311,237.124589;+51.117740,237.084471;+52.617537,229.657341;+52.545238,229.591033;+55.044934,217.251206;+54.942314,217.045226;+62.441565,203.573559;+62.359487,203.550460;+63.359432,181.581399;+63.304050,181.579092;+65.804051,171.849142;+65.812694,171.961131;+72.812588,
EQU ,314.081056;+02.477326,314.045459;+06.477165,314.671056;+06.482668,314.618567;+12.315763,317.248310;+12.338258,318.250228;+12.346552,318.244484;+13.013198,321.501042;+13.039059,321.583416;+02.539386,
ERI ,055.352715;+00.403731,070.852158;+00.237507,071.602114;+00.228922,071.556158;-03.770811,077.804191;-03.843720,077.719823;-10.843216,075.221547;-10.813792,075.178510;-14.313537,073.929586;-14.298956,073.759081;-27.047956,071.763120;-27.024852,071.722205;-29.774615,069.976434;-29.754629,069.862154;-36.753974,065.129639;-36.700987,065.076198;-39.700691,059.105674;-39.636782,059.031148;-43.636392,052.326562;-43.569350,052.288791;-45.569168,046.090572;-45.512419,046.034307;-48.512171,041.085116;-48.470940,041.047495;-50.470789,037.341022;-50.442497,037.283152;-53.442283,033.583959;-53.416394,033.489233;-57.916074,021.206074;-57.848330,021.273113;-52.848479,024.967196;-52.865779,024.993690;-50.865848,028.693088;-50.885848,028.738158;-47.552651,036.152769;-47.600425,036.263841;-39.434158,046.187068;-39.512845,046.193130;-39.096201,053.644082;-39.165048,053.699404;-35.581990,057.430307;-35.619198,057.588705;-24.003346,041.148587;-23.853565,041.339051;-01.221018,050.836504;-01.302944,055.335393;-01.346181,
FOR ,026.465850;-23.756215,041.148587;-23.853565,057.588705;-24.003346,057.430307;-35.619198,053.699404;-35.581990,053.644082;-39.165048,046.193130;-39.096201,046.187068;-39.512845,036.263841;-39.434158,026.350575;-39.372560,026.458740;-24.872865,
GEM ,096.372547;+11.933300,096.443698;+17.432869,095.069353;+17.449509,095.123901;+21.449178,090.124931;+21.509871,090.143819;+22.843086,090.220847;+28.009286,099.965430;+27.891316,100.090036;+35.390567,112.560481;+35.244546,118.289477;+35.181075,118.257851;+33.181245,121.993000;+33.141535,121.915747;+27.641936,120.171435;+27.660301,120.069906;+19.660837,118.947335;+19.672824,118.871400;+13.173228,114.252515;+13.223817,114.240787;+12.223882,106.748009;+12.309606,106.717663;+09.809783,105.718246;+09.821495,105.742598;+11.821352,
GRU ,321.928013;-36.459253,322.042285;-44.958808,322.117341;-49.458517,331.998817;-49.391111,332.113701;-56.390765,351.768455;-56.312608,351.692620;-39.312697,351.683276;-36.312710,346.727431;-36.324917,
HER ,245.558562;+03.703395,242.809627;+03.673528,242.676576;+15.672826,240.181033;+15.646362,240.110954;+21.646001,241.856530;+21.664444,241.805688;+25.664177,243.800159;+25.685630,243.786681;+26.685558,246.279760;+26.712906,246.071926;+39.711764,237.365410;+39.618960,237.124589;+51.117740,255.756833;+51.324311,255.786349;+50.324484,274.257702;+50.547105,274.342391;+47.547618,273.466876;+47.537005,273.824361;+30.039171,276.700772;+30.073989,276.762858;+26.074363,284.269841;+26.164104,284.277132;+25.664147,284.339097;+21.247843,284.373601;+18.664717,284.456225;+12.165205,281.388018;+12.128784,275.203075;+12.054343,275.173253;+14.387493,260.176866;+14.206054,260.195814;+12.706166,252.701431;+12.617958,252.805863;+03.785224,
HOR ,065.076198;-39.700691,064.882152;-48.699619,062.149682;-48.669925,062.098406;-50.669649,058.376937;-50.630423,058.318552;-52.796790,053.364774;-52.747017,053.236579;-57.079720,048.790901;-57.037716,048.362417;-67.035752,033.202145;-66.915111,033.489233;-57.916074,033.583959;-53.416394,037.283152;-53.442283,037.341022;-50.442497,041.047495;-50.470789,041.085116;-48.470940,046.034307;-48.512171,046.090572;-45.512419,052.288791;-45.569168,052.326562;-43.569350,059.031148;-43.636392,059.105674;-39.636782,
HYA ,122.848793;-00.369384,122.921180;+06.630247,140.404064;+06.470082,145.398232;+06.432781,145.348717;-00.567052,145.270082;-11.566788,162.807750;-11.662152,162.775376;-19.662103,164.030414;-19.666644,164.007918;-25.166613,179.091174;-25.195828,190.404403;-25.186435,190.398369;-22.686437,194.166756;-22.677370,215.513013;-22.572799,215.533602;-25.072732,225.576500;-24.995133,225.630723;-29.994908,190.417272;-30.186430,190.427074;-33.686425,185.387310;-33.693938,185.390162;-35.693939,166.479208;-35.674699,163.958339;-35.666540,163.977716;-31.833239,160.201209;-31.818625,160.212723;-29.818647,155.181136;-29.794817,155.199157;-27.128190,147.659083;-27.083529,147.679482;-24.583593,141.904131;-24.542539,137.636572;-24.508649,137.684771;-19.508843,130.163305;-19.442382,130.184128;-17.442478,126.926877;-17.411265,126.989575;-11.411567,122.733960;-11.368800,
